순번,행정구역,지역본부_지사,업소명,우편,주소
142,강원 원주시,강원광역본부,(주)에코바이오홀딩스,26333,강원도 원주시 저금어지길 458
143,충북 청주시 상당구,충북본부,(주)대성티앤이용처정CNG충전소,28749,충청북도 청주시 상당구 영운천로203번길 18
144,전북 전주시 덕진구,전북본부,(유)호남고속팔복CNG충전소,54845,전라북도 전주시 덕진구 신복천변로 32 (팔복동1가) 
145,전북 완주군,전북본부,현대자동차(주)전주공장,55322,전라북도 완주군 봉동읍 완주산단5로 163 
146,서울 송파구,서울광역본부,송파씨엔지충전(주),5791,서울특별시 송파구 충민로6길 61-23
147,경기 수원시 영통구,경기광역본부,(주)에스이모빌리티 동부CNG충전소,16511,경기도 수원시 영통구 광교호수로 250
148,경기 수원시 권선구,경기광역본부,(주)에스이모빌리티 남부CNG충전소,16668,경기도 수원시 권선구 덕영대로1368번길 2 외 일원
149,경기 오산시,경기광역본부,삼천리기술연구소,18102,경기도 오산시 독산성로 313
150,경기 수원시 권선구,경기광역본부,(주)에스이모빌리티 서부CNG충전소,16630,"경기도 수원시 권선구 온정로 107, 수원서부공영차고지 내"
151,경기 오산시,경기광역본부,(주)오산교통에너지 CNG충전소,18128,"경기도 오산시 서부로 21, 오산공영버스차고지 내"
152,대구 달성군,대구광역본부,대성에너지(주)매곡CNG충전소,42916,대구광역시 달성군 다사읍 달구벌대로 701-45
153,경북 경산시,대구광역본부,대성에너지(주)경산CNG충전소,38577,경상북도 경산시 원효로 456
154,광주 서구,광주광역본부,(주)해양에너지 매월 CNG충전소,62070,광주광역시 서구 불암길 154
155,광주 서구,광주광역본부,(주)해양에너지 상무 CNG충전소,62076,광주광역시 서구 눌재로 589 A동(관리실)
156,울산 북구,울산본부,농소CNG충전소,44230,울산광역시 북구 호계로 80
157,울산 남구,울산본부,삼산CNG충전소,44714,울산광역시 남구 산업로 686 
158,대전 동구,대전광역본부,한국그린충전(주)대전지사,34709,대전광역시 동구 금산로 471 (구도동)
